P,0,0
P,1,0
P,2,0
P,3,0
P,4,0
P,5,0
P,6,0
P,7,0
P,8,0
P,9,0
P,10,0
P,11,0
P,12,0
P,13,0
P,14,0
P,15,0
P,16,0
P,17,0
P,18,0
P,19,0
P,20,0
P,21,0
P,22,0
P,23,0
P,0,1
P,1,1
N,2,1
N,3,1
N,4,1
R,5,1
R,6,1
R,7,1
R,8,1
N,9,1
N,10,1
P,11,1
P,12,1
N,13,1
N,14,1
R,15,1
R,16,1
R,17,1
R,18,1
N,19,1
N,20,1
N,21,1
P,22,1
P,23,1
N,0,2
V,1,2
H,2,2
N,3,2
N,4,2
R,5,2
R,6,2
R,7,2
R,8,2
N,9,2
N,10,2
C,11,2,3
3,11,2
C,12,2,3
3,12,2
N,13,2
N,14,2
R,15,2
R,16,2
R,17,2
R,18,2
N,19,2
N,20,2
S,21,2
V,22,2
N,23,2
N,0,3
P,1,3
P,2,3
P,3,3
N,4,3
R,5,3
R,6,3
R,7,3
R,8,3
N,9,3
N,10,3
C,11,3,3
3,11,3
C,12,3,3
3,12,3
N,13,3
N,14,3
R,15,3
R,16,3
R,17,3
R,18,3
N,19,3
P,20,3
P,21,3
P,22,3
N,23,3
N,0,4
V,1,4
N,2,4
R,3,4
N,4,4
R,5,4
R,6,4
R,7,4
R,8,4
N,9,4
B,10,4
C,11,4,3
3,11,4
C,12,4,3
3,12,4
B,13,4
N,14,4
R,15,4
R,16,4
R,17,4
R,18,4
N,19,4
R,20,4
N,21,4
V,22,4
N,23,4
N,0,5
V,1,5
B,2,5
R,3,5
N,4,5
R,5,5
R,6,5
R,7,5
N,8,5
P,9,5
P,10,5
C,11,5,3
3,11,5
C,12,5,3
3,12,5
P,13,5
P,14,5
N,15,5
R,16,5
R,17,5
R,18,5
N,19,5
R,20,5
N,21,5
V,22,5
N,23,5
N,0,6
V,1,6
N,2,6
R,3,6
N,4,6
R,5,6
R,6,6
N,7,6
P,8,6
P,9,6
P,10,6
N,11,6
N,12,6
P,13,6
P,14,6
P,15,6
B,16,6
R,17,6
R,18,6
N,19,6
R,20,6
N,21,6
V,22,6
N,23,6
N,0,7
V,1,7
N,2,7
R,3,7
N,4,7
R,5,7
B,6,7
P,7,7
P,8,7
N,9,7
V,10,7
N,11,7
N,12,7
V,13,7
N,14,7
P,15,7
P,16,7
N,17,7
R,18,7
N,19,7
R,20,7
N,21,7
V,22,7
N,23,7
N,0,8
V,1,8
N,2,8
R,3,8
N,4,8
R,5,8
P,6,8
P,7,8
R,8,8
N,9,8
V,10,8
N,11,8
N,12,8
V,13,8
N,14,8
R,15,8
P,16,8
P,17,8
R,18,8
N,19,8
R,20,8
B,21,8
V,22,8
N,23,8
N,0,9
V,1,9
N,2,9
R,3,9
N,4,9
R,5,9
N,6,9
N,7,9
R,8,9
N,9,9
P,10,9
P,11,9
P,12,9
P,13,9
N,14,9
R,15,9
N,16,9
N,17,9
R,18,9
N,19,9
R,20,9
N,21,9
V,22,9
N,23,9
P,0,10
P,1,10
P,2,10
R,3,10
S,4,10
R,5,10
N,6,10
N,7,10
R,8,10
P,9,10
P,10,10
P,11,10
P,12,10
P,13,10
P,14,10
R,15,10
N,16,10
N,17,10
R,18,10
N,19,10
R,20,10
P,21,10
P,22,10
P,23,10
M,0,11
M,1,11
M,2,11
M,3,11
M,4,11
M,5,11
M,6,11
M,7,11
M,8,11
M,9,11
M,10,11
M,11,11
M,12,11
M,13,11
M,14,11
M,15,11
M,16,11
M,17,11
M,18,11
M,19,11
M,20,11
M,21,11
M,22,11
M,23,11
